primaryName,tconst_x,averageRating,numVotes,titleType,primaryTitle,isAdult,runtimeMinutes
Chris Smith,tt12020444,8.0,13,tvSeries,Joseph & Lindsey,0,4
Chris Smith,tt12020444,8.0,13,tvSeries,Joseph & Lindsey,0,4
Michael Johnson,tt11524214,9.5,32,tvSeries,Water Helps the Blood Run,0,30
Michael Smith,tt11673158,7.0,31,video,Budweiser: Frogs,0,1
David Smith,tt5313772,8.6,12,tvMovie,Cameraman to the Queen,0,48
Michael Johnson,tt0185058,7.8,15,tvSeries,Crimewatch File,0,50
David Smith,tt0244339,7.4,43,tvSeries,The Don Lane Show,0,90
Michael Johnson,tt11809046,2.7,31,tvMovie,The BRITs at 40,0,120
Chris Smith,tt15102804,5.9,25,tvSeries,Tonight LIVE with Mark Dolan,0,180
Chris Smith,tt3644198,3.1,730,tvSeries,Good Morning Britain,0,180
David Smith,tt3644198,3.1,730,tvSeries,Good Morning Britain,0,180
Michael Smith,tt0103549,8.3,245,tvSeries,Sightings,0,60
David Smith,tt0103549,8.3,245,tvSeries,Sightings,0,60
Michael Johnson,tt7657494,2.5,42,tvSeries,Credlin,0,60
Michael Smith,tt0071576,6.2,494,tvMovie,Great Expectations,0,124
Michael Smith,tt0077069,6.7,560,tvSeries,Return of the Saint,0,60
Michael Smith,tt0141926,6.6,85955,movie,U-571,0,116
Chris Smith,tt6120654,8.4,20,tvSpecial,Exploring Psychic Powers Live,0,92
Chris Smith,tt0106367,8.6,2916,tvSeries,Beakman's World,0,30
Chris Smith,tt0500096,7.8,15,video,Raising Your Dog with the Monks of New Skete,0,180
Chris Smith,tt10726356,6.3,2689,tvSeries,The Big Show Show,0,27
David Smith,tt2255443,7.1,919,tvSeries,The Undateables,0,60
Chris Smith,tt8583694,6.4,1068,tvMovie,Christmas on Holly Lane,0,86
Michael Smith,tt12273762,4.3,3838,movie,Overrun,0,105
David Smith,tt0119665,6.3,3571,movie,Metroland,0,105
Chris Smith,tt9015306,7.5,1939,movie,ZZ Top: That Little Ol' Band from Texas,0,91
Michael Smith,tt12502078,6.9,88,tvSeries,Bloodline Detectives,0,45
Michael Smith,tt7274440,8.2,195,tvMiniSeries,Big Pacific,0,60
David Smith,tt12115298,7.4,751,tvMiniSeries,Helter Skelter: An American Myth,0,348
David Smith,tt6570890,4.3,24,tvSeries,Sky News Tonight,0,120
